C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
516.584,468.238,1054.231,502.151,1247.542,604.772,654.291,691.070,685.800,777.444,745.676,477.417,757.761,453.507,520.806,492.123,452.584,629.784,977.728,668.739,981.934,546.569,940.204,529.522,517.027,990.275,531.075,629.947,1056.655,846.757,1044.307,838.355,1241.126,758.244,1003.910,874.432,892.467,638.202,634.423,843.666,1018.984,940.396,836.981,965.511,689.596,959.412,697.048,842.614,644.405,869.670,981.025,715.659,607.177,820.852,1066.733,339.212,1209.961,265.203,0,0,0,0,0,0,0,0,0,0,811.008,705.271,757.904,1,1Sp,Lamina 1,90,DH
810.383,1233.799,961.003,976.933,1386.621,1165.390,849.364,951.005,840.025,756.510,475.886,408.071,855.855,845.225,891.987,711.613,491.832,576.185,1103.519,1291.569,1092.693,1011.569,888.968,1268.812,1451.587,1343.623,1441.526,1276.962,1642.888,1173.000,1259.182,1145.404,1381.845,1512.716,1214.635,1403.464,966.443,995.820,1216.555,799.731,1214.550,1845.916,931.429,945.989,875.574,982.555,1113.473,1107.445,1184.314,1102.832,885.179,1225.915,1053.321,919.860,666.016,1015.648,820.059,894.456,0,0,0,0,0,0,0,0,0,0,1030.801,1060.276,1045.610,2,2Ssp,Lamina 2 Outer part,90,DH
937.598,1495.473,1051.810,1072.735,1091.425,1189.130,994.696,1063.948,1025.392,946.789,904.826,588.937,1052.481,863.156,936.433,956.525,835.511,932.278,1239.763,1041.256,1324.167,1727.347,1278.160,1232.485,870.747,1073.629,849.361,639.408,1049.301,1548.881,1262.933,1435.667,1382.739,1075.511,1299.873,1286.233,1416.145,1010.293,1784.116,1243.641,1531.402,1447.425,1167.012,1206.181,1054.020,1049.600,1163.668,1146.932,1005.602,1142.541,959.768,768.050,1162.902,1227.876,1084.598,801.475,962.921,543.268,0,0,0,0,0,0,0,0,0,0,1114.845,1081.386,1098.030,3,2Spl,Lamina 2 Inner part,90,DH
1226.332,1807.302,1246.224,1293.377,1307.395,1340.950,1168.552,1341.828,1013.801,1069.264,846.995,694.815,1189.443,1042.476,1317.217,1191.691,1019.958,1007.194,1114.068,1574.646,1440.884,1264.409,1170.626,1222.621,1445.123,1363.742,1473.527,1519.143,1419.022,1433.301,1498.734,1214.731,1508.965,1350.324,1496.315,1443.041,1375.208,1316.726,1298.025,1289.247,1493.967,1667.855,1073.378,1117.007,1092.240,1054.030,1263.543,1302.609,1359.156,1344.909,1162.342,1245.555,1121.648,1081.824,978.953,1023.958,955.822,687.916,0,0,0,0,0,0,0,0,0,0,1230.814,1244.133,1237.493,4,3Sp,Lamina 3,90,DH
1492.520,2182.943,1250.539,1262.998,1283.490,1312.957,1202.107,1193.147,1284.218,1183.979,1087.056,1019.813,1435.534,1206.103,1436.001,1387.253,1220.564,1362.253,1390.505,1499.144,1666.106,1414.412,1494.264,1452.460,1445.035,1779.501,1538.573,1601.807,1828.006,1496.397,1504.848,1810.017,1656.148,1613.327,1405.287,1474.868,1506.598,1461.253,1490.376,1393.564,1709.042,1881.050,1303.459,1220.472,1182.425,1240.572,1317.484,1360.351,1463.446,1486.234,1263.704,1269.523,1230.121,1245.478,1318.158,1189.425,947.804,1089.478,0,0,0,0,0,0,0,0,0,0,1378.867,1392.366,1385.651,5,4Sp,Lamina 4,90,DH
1520.334,1680.827,1257.205,1418.710,1115.716,1257.708,1645.835,1400.700,937.899,1126.743,1395.483,969.560,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1248.156,1274.589,1261.445,6,IB,Internal basilar nucleus_4Sp,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1461.378,1382.163,1459.417,1091.101,0,0,0,0,0,0,0,0,0,0,1576.016,1501.975,1538.845,7,5Sp,Lamina 5,90,DH
1394.422,1830.346,1333.943,1210.198,1413.199,1242.734,1302.580,1187.733,1321.131,1240.547,1131.485,955.725,1414.152,1224.441,1521.029,1406.576,1279.012,1273.569,1543.881,1528.616,1682.166,1668.000,1478.815,1712.475,1667.147,1724.027,1719.204,1792.936,1748.234,1839.254,1886.291,1904.415,1883.704,1830.062,1736.331,1820.445,1773.391,1660.338,2116.100,1867.896,2014.171,1983.708,1400.374,1336.501,1311.665,1287.898,1477.868,1545.202,1482.957,1450.522,1294.228,1390.535,1263.861,1194.384,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1502.512,1497.286,1499.874,8,5SpL,Lamina 5 Lateral part,90,DH
1736.317,1961.406,1867.749,1378.042,1682.594,1650.856,1587.527,1511.875,1421.406,1567.880,1505.937,1340.015,1582.034,1592.634,1609.863,1552.442,1328.224,1528.471,1628.334,1683.395,1802.544,1814.469,2138.253,1544.953,1743.686,1697.030,2088.781,1873.386,2073.008,2115.180,2298.908,2035.823,1956.115,2444.132,1774.245,1835.631,1531.293,1766.020,1556.983,1789.623,1751.570,1681.113,1678.412,1935.744,1754.454,1238.560,1609.310,1429.501,1799.295,1884.311,1928.197,1787.614,1456.153,1420.231,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1673.838,1621.198,1647.537,9,5SpM,Lamina 5 Medial part,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1376.321,1350.662,1521.510,1186.223,1472.967,1625.631,1180.556,1873.748,1293.623,1471.603,1612.023,1062.384,1336.333,2017.880,1825.415,1619.425,1564.577,1651.601,1180.236,1772.639,1619.537,1777.244,1423.247,1781.277,1458.866,2233.318,1787.695,1605.490,1704.990,1627.870,1484.626,1813.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1510.420,1656.418,1584.275,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
