C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
1.672,0.293,11.180,10.152,17.942,13.865,10.405,18.475,23.570,30.115,11.892,4.780,16.165,11.469,10.573,13.256,1.386,13.094,5.647,9.424,11.402,10.858,12.378,15.156,7.075,17.116,3.614,7.196,11.610,19.552,7.903,17.740,11.939,17.413,7.756,10.413,4.871,13.883,7.936,7.910,14.025,18.824,6.090,17.489,10.363,14.920,8.290,12.511,9.489,11.607,9.265,20.627,13.820,19.360,4.055,7.814,10.801,14.778,0,0,0,0,0,0,0,0,0,0,9.826,14.264,12.061,1,1Sp,Lamina 1,90,Lamina_I
4.434,0.903,8.702,18.213,16.602,17.629,19.736,28.695,19.830,28.646,21.472,12.929,12.391,27.709,10.927,11.418,5.510,14.033,14.650,16.712,17.607,13.739,23.341,19.450,22.306,24.893,10.904,12.745,29.315,28.971,19.764,35.054,27.951,26.895,20.830,21.839,22.958,23.810,22.569,19.718,31.949,31.099,16.839,23.322,28.527,26.602,21.691,21.843,17.342,21.693,23.071,22.014,29.207,21.667,9.670,14.153,8.461,25.160,0,0,0,0,0,0,0,0,0,0,18.951,21.149,20.056,2,2SpO,Lamina 2 Outer part,90,Lamina_II
8.511,12.597,5.858,25.444,10.391,12.282,21.203,34.644,15.569,18.026,24.017,20.100,6.400,24.040,9.987,11.794,14.634,19.073,14.560,19.166,21.349,14.815,29.932,20.100,33.427,24.482,19.800,15.799,25.558,19.115,24.424,28.366,23.012,19.055,23.562,19.399,29.255,17.508,32.227,26.427,19.340,15.015,32.195,22.298,27.103,36.143,24.736,18.287,31.254,27.641,36.038,20.073,33.434,21.704,9.956,17.166,3.353,22.719,0,0,0,0,0,0,0,0,0,0,21.495,20.634,21.062,3,2Spl,Lamina 2 Inner part,90,Lamina_II
27.704,36.597,4.744,9.994,1.313,2.630,10.842,12.241,5.646,3.439,8.337,18.802,3.638,9.175,5.000,5.155,20.821,20.265,10.111,11.537,11.532,10.783,21.099,18.481,18.584,16.291,18.126,16.328,8.351,8.184,15.682,9.716,7.355,4.830,11.852,8.415,12.800,8.123,12.079,18.603,9.599,7.374,14.570,14.757,11.308,7.263,5.763,4.284,12.711,8.390,10.838,6.310,17.632,14.823,13.289,9.922,3.236,10.588,0,0,0,0,0,0,0,0,0,0,11.229,10.562,10.892,4,3Sp,Lamina 3,90,Lamina_III
1.041,2.279,0.635,0.204,0.749,0.448,2.156,2.492,0.060,0.061,0.242,5.915,0.022,0.206,0.175,0.284,4.615,3.865,1.054,1.780,0.859,1.193,1.943,2.137,2.472,2.555,2.071,3.265,1.413,2.967,4.498,2.876,3.587,2.742,2.025,4.293,2.623,6.002,0.767,1.756,1.897,4.322,0.035,0.113,0.785,0.174,0.097,0.076,0.007,0.028,0.099,0.028,0.482,0.291,0.098,0.717,0.104,1.188,0,0,0,0,0,0,0,0,0,0,1.112,1.631,1.374,5,4Sp,Lamina 4,90,Lamina_IV
0.000,0.000,0.000,0.000,0.388,4.193,0.000,0.000,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.087,0.702,0.392,6,IB,Internal basilar nucleus_4Sp,90,Lamina_IV
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.104,0,0,0,0,0,0,0,0,0,0,0.000,0.039,0.021,7,5Sp,Lamina 5,90,Lamina_V
0.000,0.000,0.007,0.000,0.145,0.000,0.000,0.084,0.000,0.000,0.009,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.008,0.000,0.126,0.000,0.000,0.011,0.000,0.016,0.000,0.000,0.073,0.218,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.016,0.048,0.009,0.006,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.017,0.018,0.017,8,5SpL,Lamina 5 Lateral part,90,Lamina_V
0.000,0.000,0.000,0.000,0.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.214,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.092,0.000,0.013,0.030,0.047,0.027,0.008,0.215,0.009,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.035,0.013,0.024,9,5SpM,Lamina 5 Medial part,90,Lamina_V
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,10,D,Dorsal nucleus (Clarke)_5Sp,90,Lamina_V
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,11,6Sp,Lamina 6,90,Lamina_VI
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.022,0.042,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0.011,0.009,0.010,12,6SpL,Lamina 6 Lateral part,90,Lamina_VI
