C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
0,0,241.005,337.403,282.298,249.011,218.826,322.042,277.880,297.346,120.897,130.446,242.289,364.020,294.719,399.993,221.409,253.487,240.741,326.606,260.008,271.854,139.903,214.744,164.962,131.492,136.705,133.496,199.223,217.396,150.668,158.773,189.503,165.210,146.505,209.316,184.137,171.883,90.627,145.039,13.281,45.291,25.885,114.937,137.287,109.436,201.343,195.819,182.728,183.775,174.632,204.195,197.356,196.241,119.156,140.698,212.181,206.783,0,0,0,0,0,0,0,0,0,0,184.995,217.040,201.023,1,1Sp,Lamina 1,90,DH
0,0,244.420,385.041,267.578,286.128,298.904,327.437,286.394,354.492,198.301,204.481,260.292,380.420,311.560,493.823,238.588,286.483,331.707,385.404,315.945,378.086,229.131,309.957,238.617,197.402,192.010,177.574,239.108,226.662,196.743,200.060,240.333,201.257,218.962,231.569,207.231,205.149,77.871,166.092,20.885,73.463,35.021,157.168,174.908,141.236,219.887,207.950,213.939,217.291,187.754,227.970,228.461,226.229,142.626,177.784,218.015,213.704,0,0,0,0,0,0,0,0,0,0,220.559,260.347,240.499,2,2Ssp,Lamina 2 Outer part,90,DH
0,0,247.199,412.686,267.969,314.204,316.445,319.192,289.206,390.214,226.214,302.947,269.630,417.981,330.647,600.083,311.324,389.198,368.995,424.811,325.455,451.242,283.539,362.553,267.083,277.553,226.061,209.480,225.415,239.736,227.702,251.782,256.226,226.678,259.531,247.415,224.180,228.165,106.349,210.492,42.971,124.525,46.005,196.191,192.130,193.778,227.876,223.570,218.566,234.018,194.048,243.836,236.864,245.706,181.836,209.889,221.682,227.259,0,0,0,0,0,0,0,0,0,0,239.541,306.115,272.923,3,2Spl,Lamina 2 Inner part,90,DH
0,0,266.034,587.363,278.956,350.567,285.645,348.655,326.403,569.891,290.224,476.927,319.544,690.507,423.620,1105.729,333.507,532.701,385.715,544.500,296.482,476.042,267.582,379.890,268.219,311.927,257.103,265.495,232.067,275.366,253.122,286.831,265.795,251.817,273.385,278.902,238.155,248.679,136.750,237.537,66.515,208.123,61.447,241.542,204.686,236.143,236.039,257.652,228.185,263.510,209.563,292.690,238.554,252.630,204.408,278.511,222.317,294.733,0,0,0,0,0,0,0,0,0,0,256.853,399.753,328.360,4,3Sp,Lamina 3,90,DH
0,0,451.882,1882.881,713.369,2085.247,862.065,2899.570,845.788,3239.937,765.168,2806.143,839.689,3550.931,925.388,4760.667,786.012,2734.509,719.436,2115.277,553.603,1575.903,419.761,1247.541,599.752,1462.004,647.758,1101.304,400.600,664.771,553.023,650.377,553.259,586.256,415.338,733.635,355.533,710.054,259.358,749.662,223.331,713.007,175.819,495.734,232.263,517.106,286.985,525.392,273.315,541.563,264.760,539.964,247.589,314.475,212.872,301.257,231.238,381.207,0,0,0,0,0,0,0,0,0,0,487.484,1553.268,1023.315,5,4Sp,Lamina 4,90,DH
0,0,773.322,4657.021,613.038,1807.676,1353.369,7532.610,1145.242,4351.924,1408.802,8891.663,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,1016.992,5168.651,3181.458,6,IB,Internal basilar nucleus_4Sp,90,DH
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,216.837,291.923,238.328,318.796,0,0,0,0,0,0,0,0,0,0,221.801,298.203,260.777,7,5Sp,Lamina 5,90,DH
0,0,374.058,2160.215,414.525,2041.120,392.799,1633.643,445.102,1721.518,360.565,1333.396,440.514,2425.339,474.739,2523.948,420.133,1398.015,493.148,1310.580,458.136,1121.914,347.165,874.983,411.747,655.204,404.448,600.102,311.542,626.794,280.228,466.473,360.576,405.301,365.632,492.512,346.301,529.113,240.083,397.046,234.450,351.632,254.550,388.168,236.541,394.181,249.308,429.469,258.039,420.622,245.134,451.664,251.922,347.826,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,336.388,966.433,652.986,8,5SpL,Lamina 5 Lateral part,90,DH
0,0,584.497,2514.541,746.075,4655.608,876.109,4806.053,899.845,4939.717,772.668,3947.185,1111.222,5957.853,983.377,6200.971,831.388,4866.918,720.316,3603.943,735.821,2895.116,530.925,2554.437,664.185,1780.827,631.636,1455.261,486.257,2004.870,464.517,922.482,585.153,782.656,522.537,1228.463,543.670,1591.532,270.432,1119.462,264.204,576.641,319.560,706.200,257.383,574.233,294.835,621.622,327.325,658.992,337.497,626.427,279.005,510.266,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,563.853,2659.244,1630.157,9,5SpM,Lamina 5 Medial part,90,DH
0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1160.039,6853.772,1083.133,5303.370,1033.880,5931.556,858.670,8183.260,1117.984,5007.652,1002.205,3526.975,1276.834,8844.472,1715.588,3013.927,1862.128,2268.390,744.153,3510.579,713.164,5347.845,381.038,4631.222,325.367,2119.108,368.463,850.066,289.731,1263.974,357.614,945.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,864.073,4171.761,2571.829,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
