X,Y,Z,Z_Dither,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,Region_ID,Segment
77.6851,110.1112,17.2493,17.5379,1026.3972,0,1764.0207,0,Right,68,C2
237.0383,152.244,19.7866,19.6742,434.6286,0,1804.9429,0,Left,65,C2
238.705,162.5713,19.7108,19.3454,447.05,0,1215.4286,0,Left,65,C2
235.5849,167.2193,19.6181,19.409,649.8737,0,2009.6842,0,Left,65,C2
215.6759,174.3345,19.2437,19.8284,654.625,0,1794.4583,0,Left,65,C2
235.4318,141.9946,20.8556,20.2383,506.4444,0,1122.2593,0,Left,18,C2
218.6886,169.7049,20.3342,20.9138,1003.9424,0,556.518,0,Left,26,C2
235.8173,155.8148,22.7492,23.2991,640.9231,0,1664.5865,0,Left,65,C2
239.4089,159.2451,22.7709,23.3299,798.4216,0,606.573,0,Left,65,C2
207.7842,161.4479,23.1896,23.7359,816.4889,0,675.9444,0,Left,26,C2
207.554,161.5938,25.1905,25.062,816.4889,0,675.9444,0,Left,26,C2
152.6102,152.8998,24.9621,24.7715,614.7297,0,567.8919,0,Right,70,C2
134.1994,177.0603,24.6884,24.431,473.3065,0,777,0,Right,70,C2
150.6991,104.0626,26.8767,26.8848,572.3061,0,2227.8367,0,Right,225,C2
214.6609,172.7994,28.2992,27.8191,508.6023,0,808.2614,0,Left,26,C2
112.4871,169.6996,26.346,26.6842,462.5931,0,894.9448,0,Right,26,C2
127.691,171.7016,26.5363,26.7362,528.1034,0,1409.1724,0,Right,42,C2
127.7191,172.9187,26.5392,26.1101,347.7879,0,507.7879,0,Right,42,C2
79.1908,211.9351,25.7336,25.5814,700.5538,0,1054.2769,0,Right,0,C2
232.3058,165.6159,29.6867,29.2364,648.5325,0,1052,0,Left,65,C2
218.7806,168.1255,29.4261,29.6698,485.0781,0,940.6562,0,Left,26,C2
106.3588,165.8666,27.2652,27.6467,681.7101,0,390.7826,0,Right,26,C2
126.5682,170.3852,27.4968,26.878,637.25,0,1171.2931,0,Right,42,C2
238.3404,156.3156,31.9062,31.9352,474.7797,0,1114.9831,0,Left,65,C2
244.1252,157.3406,31.9794,32.2844,470.5125,0,595.45,0,Left,65,C2
108.368,170.6033,29.2516,28.8041,779.3056,0,550.3556,0,Right,26,C2
112.4827,176.8238,29.3003,29.2775,827.9953,0,701.4123,0,Right,26,C2
114.6802,183.0649,29.332,29.3877,718.5984,0,1009.6063,0,Right,65,C2
215.7951,95.0357,32.8792,32.9756,699.7742,0,3519.7742,0,Left,8,C2
213.515,97.0153,32.7746,32.4057,785.8284,0,3497.7687,0,Left,8,C2
220.056,99.6538,32.979,33.1332,722.2585,0,3882.722,0,Left,8,C2
242.6811,153.9756,33.0145,32.6204,723.521,0,834.1345,0,Left,65,C2
101.286,169.142,30.1717,29.56,663.8427,0,761.7753,0,Right,65,C2
140.8748,176.3674,30.6984,30.2747,453.3188,0,1380.8551,0,Right,70,C2
218.5033,182.8987,32.3411,31.9386,626.1556,0,1624.7111,0,Left,65,C2
112.4634,178.0149,30.2858,30.3363,821.3466,0,494.2727,0,Right,65,C2
210.7878,188.1235,34.1848,34.7771,612.5405,0,705.8649,0,Left,65,C2
125.6833,185.0653,32.4365,32.1182,585.7083,0,545.0139,0,Right,70,C2
210.7011,188.2851,35.2007,35.0688,612.5405,0,705.8649,0,Left,65,C2
125.6088,185.0651,33.419,33.066,585.7083,0,545.0139,0,Right,70,C2
187.7349,149.1689,36.6426,36.5576,442.81,0,872.2,0,Left,54,C2
105.2713,178.761,35.1497,34.8162,535.2717,0,997.5217,0,Right,65,C2
103.2536,177.4504,35.1304,35.6178,315,0,720.3462,0,Right,65,C2
104.1389,161.6825,36.062,35.4849,444.6,0,389,0,Right,26,C2
209.8257,170.3303,38.3549,38.4704,452.5294,0,949.3235,0,Left,26,C2
131.9884,175.5078,36.405,36.5989,426.6296,0,643.1667,0,Right,42,C2
132.1543,179.3169,36.4337,35.9585,619.1489,0,500.2447,0,Right,70,C2
104.0868,161.5393,38.0189,38.2095,444.6,0,389,0,Right,26,C2
209.5907,170.5966,40.3844,40.9898,452.5294,0,949.3235,0,Left,26,C2
131.7869,175.4519,38.3568,37.9902,426.6296,0,643.1667,0,Right,42,C2
131.9578,179.2842,38.3895,38.2328,619.1489,0,500.2447,0,Right,42,C2
104.0588,161.4651,38.9971,38.9513,444.6,0,389,0,Right,26,C2
209.4733,170.733,41.4003,41.1923,452.5294,0,949.3235,0,Left,26,C2
131.6839,175.4212,39.3326,39.2616,426.6296,0,643.1667,0,Right,42,C2
131.8574,179.2646,39.3674,39.3726,619.1489,0,500.2447,0,Right,42,C2
103.9991,161.3106,40.9532,41.5769,444.6,0,389,0,Right,26,C2
209.2394,171.0117,43.4341,43.5971,452.5294,0,949.3235,0,Left,48,C3
131.4729,175.3536,41.2843,41.7963,426.6296,0,643.1667,0,Right,42,C2
131.6515,179.2179,41.3234,41.333,619.1489,0,500.2447,0,Right,42,C2
103.9677,161.2302,41.9311,41.9204,444.6,0,389,0,Right,26,C2
209.1234,171.1535,44.452,44.3629,452.5294,0,949.3235,0,Left,48,C3
131.3652,175.3163,42.2601,42.0202,426.6296,0,643.1667,0,Right,42,C3
131.5462,179.1902,42.3016,42.5732,619.1489,0,500.2447,0,Right,42,C3
103.9032,161.0628,43.8865,44.4645,444.6,0,389,0,Right,60,C3
208.8944,171.4407,46.4889,46.1258,452.5294,0,949.3235,0,Left,48,C3
131.1465,175.2338,44.2115,43.8023,426.6296,0,643.1667,0,Right,42,C3
131.3323,179.1254,44.2577,44.3189,619.1489,0,500.2447,0,Right,42,C3
103.8707,160.9758,44.8641,44.9334,444.6,0,389,0,Right,60,C3
208.7821,171.5856,47.5078,47.6176,452.5294,0,949.3235,0,Left,48,C3
131.0361,175.1883,45.1869,45.5483,426.6296,0,643.1667,0,Right,42,C3
131.2242,179.0877,45.2356,45.4844,619.1489,0,500.2447,0,Right,42,C3
103.8068,160.7949,46.8188,46.4496,444.6,0,389,0,Right,60,C3
208.563,171.8768,49.5462,49.2398,452.5294,0,949.3235,0,Left,48,C3
130.8147,175.0878,47.1368,47.4842,426.6296,0,643.1667,0,Right,42,C3
131.007,179.0009,47.1907,46.8469,619.1489,0,500.2447,0,Right,42,C3
103.776,160.7011,47.7959,48.3998,444.6,0,389,0,Right,60,C3
208.4569,172.0226,50.5654,50.9449,452.5294,0,949.3235,0,Left,48,C3
130.7042,175.0325,48.1113,48.5317,426.6296,0,643.1667,0,Right,42,C3
130.8983,178.9514,48.1677,47.7466,619.1489,0,500.2447,0,Right,42,C3
103.718,160.5062,49.7499,49.9218,444.6,0,389,0,Right,60,C3
208.2525,172.3133,52.6034,51.9893,452.5294,0,949.3235,0,Left,48,C3
130.4848,174.911,50.0589,50.2229,426.6296,0,643.1667,0,Right,42,C3
130.6824,178.839,50.1204,49.7554,619.1489,0,500.2447,0,Right,42,C3
103.6665,160.302,51.7031,52.1785,444.6,0,389,0,Right,60,C3
208.0598,172.6019,54.6387,54.8975,452.5294,0,949.3235,0,Left,48,C3
130.2695,174.7743,52.0041,52.2833,426.6296,0,643.1667,0,Right,42,C3
130.47,178.7082,52.0708,52.0827,619.1489,0,500.2447,0,Right,42,C3
103.6429,160.1967,52.6792,53.288,444.6,0,389,0,Right,60,C3
207.9679,172.7451,55.6545,55.2211,452.5294,0,949.3235,0,Left,48,C3
130.1639,174.7006,52.9755,53.2387,426.6296,0,643.1667,0,Right,42,C3
130.3655,178.6363,53.0446,53.4496,619.1489,0,500.2447,0,Right,42,C3
103.5985,159.981,54.6294,54.159,444.6,0,389,0,Right,26,C3
207.7934,173.0288,57.6803,57.8265,452.5294,0,949.3235,0,Left,48,C3
129.9575,174.5437,54.9149,54.8922,426.6296,0,643.1667,0,Right,42,C3
130.1613,178.4809,54.9886,54.4883,619.1489,0,500.2447,0,Right,42,C3
71.6338,87.8547,54.823,54.9694,476.3871,0,602.5806,0,Right,4,C3
239.6716,166.851,59.4953,58.9055,538.7949,0,631.6923,0,Left,65,C3
105.3327,162.1366,57.572,57.6863,507.0556,0,450.1111,0,Right,60,C3
214.3513,181.0942,60.9063,60.3726,736.0924,0,564.9664,0,Left,26,C3
112.6343,168.742,57.6455,57.113,457.5185,0,777,0,Right,26,C3
105.3056,162.0221,58.5424,58.7674,507.0556,0,450.1111,0,Right,60,C3
214.2918,181.2388,61.9089,61.6339,736.0924,0,564.9664,0,Left,26,C3
112.5807,168.6248,58.6144,58.7444,457.5185,0,777,0,Right,26,C3
88.607,139.2988,60.3407,60.7778,486.3462,0,1158.6538,0,Right,18,C3
190.061,158.3624,62.6953,62.5126,676.5529,0,1710.2235,0,Left,26,C3
251.9414,164.9359,64.6613,64.7846,541.7961,0,1191.1845,0,Left,65,C3
137.9307,160.0525,60.5661,60.3063,800.657,0,851.1116,0,Right,26,C3
133.0257,164.3105,60.5611,61.0317,506.3125,0,1503.9141,0,Right,26,C3
91.0879,162.8654,60.5606,60.8659,420.814,0,1308.8062,0,Right,65,C3
100.5394,166.619,60.5688,60.4729,644.0707,0,1121.5455,0,Right,60,C3
131.4049,175.5974,60.7439,60.5887,675.9041,0,1157.3836,0,Right,42,C3
103.2665,171.6933,60.6212,60.3353,470.1538,0,1706.0769,0,Right,60,C3
88.6039,139.185,61.3081,61.5954,486.3462,0,1158.6538,0,Right,18,C3
189.9787,158.464,63.6731,64.1565,676.5529,0,1710.2235,0,Left,26,C3
251.8795,165.0192,65.6658,65.0954,541.7961,0,1191.1845,0,Left,65,C3
137.838,159.9966,61.5192,61.4663,800.657,0,851.1116,0,Right,26,C3
132.9359,164.2344,61.5154,61.9685,506.3125,0,1503.9141,0,Right,26,C3
91.074,162.7555,61.5316,62.034,420.814,0,1308.8062,0,Right,65,C3
100.5192,166.502,61.5373,60.9905,644.0707,0,1121.5455,0,Right,60,C3
131.318,175.5061,61.6993,62.0291,675.9041,0,1157.3836,0,Right,42,C3
103.2392,171.5723,61.5893,61.4989,470.1538,0,1706.0769,0,Right,60,C3
240.852,145.8777,67.8887,68.5127,439.5263,0,989.0789,0,Left,59,C4
207.9713,170.4212,66.639,66.0914,844.1808,0,501.7538,0,Left,48,C4
131.8201,161.4056,63.3675,63.4754,962.6614,0,1231.1024,0,Right,26,C3
132.7709,165.3466,63.4399,63.5241,638.9451,0,1490.8352,0,Right,26,C3
96.7031,168.6973,63.5191,63.7216,718.4804,0,1589.1667,0,Right,60,C3
240.7873,145.9509,68.8897,69.3988,439.5263,0,989.0789,0,Left,59,C4
207.9194,170.5435,67.6169,67.3,844.1808,0,501.7538,0,Left,26,C4
131.7392,161.3273,64.3183,64.0039,962.6614,0,1231.1024,0,Right,26,C3
132.6894,165.2667,64.3897,64.6483,638.9451,0,1490.8352,0,Right,26,C3
96.6832,168.5768,64.483,64.2802,718.4804,0,1589.1667,0,Right,60,C3
183.9791,121.1638,67.7016,67.8357,886.0357,0,556.9554,0,Left,18,C4
207.0406,174.6002,69.5528,69.322,711.6768,0,627.7273,0,Left,26,C4
218.0102,177.163,69.9124,69.318,636.012,0,991.8072,0,Left,26,C4
98.4965,169.5945,66.4092,66.3479,965.4514,0,483.2571,0,Right,60,C4
122.7239,181.6544,66.5649,66.4013,712.9787,0,957.5745,0,Right,42,C4
184.8912,122.6209,68.7395,68.6943,531.3846,0,1084.6538,0,Left,18,C4
162.6848,130.7675,67.5871,67.1837,408.6,0,890.9556,0,Left,14,C4
244.9789,158.9557,71.7539,71.974,747.4162,0,696.3027,0,Left,65,C4
214.129,174.8064,70.7679,71.0374,598.8261,0,1166.8043,0,Left,26,C4
125.863,169.0311,67.259,67.5632,777.0843,0,1293.2169,0,Right,26,C4
102.1733,168.2862,67.3248,67.8612,557.5769,0,684.5385,0,Right,48,C4
184.8787,122.7715,70.6827,70.7951,531.3846,0,1084.6538,0,Left,18,C4
162.6066,130.8233,69.5019,69.6819,408.6,0,890.9556,0,Left,14,C4
