X,Y,Z,Z_Dither,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,Region_ID,Segment
170.4159,143.5286,1,1,1384.6689,588.9007,0,468.8675,Left,70,C1
176.7659,147.9478,1,1,1453.7451,679.3529,0,383.0784,Left,29,C1
176.7594,147.8792,1,1.2593,1453.7451,679.3529,0,383.0784,Left,29,C1
178.5292,149.2673,1,1.3907,1450.7812,583.6875,0,331.25,Left,29,C1
247.7074,116.8065,7.9233,7.8116,2906.1111,572.6667,0,357.7778,Left,65,C1
247.6958,116.7841,8.9223,8.8684,2906.1111,572.6667,0,357.7778,Left,65,C1
199.9004,180.6375,4.7496,5.0457,1974.5946,677.2973,0,1069.4054,Left,42,C1
156.5967,126.4673,8.5579,8.3127,1384.3953,720.0581,0,694.1047,Right,14,C1
126.9761,180.9953,3.1579,3.1395,1836.2667,710.1333,0,776.2,Right,42,C1
156.6497,126.3699,9.5434,9.8825,1384.3953,720.0581,0,694.1047,Right,14,C1
127.0312,180.9177,4.1778,3.7054,1836.2667,710.1333,0,776.2,Right,42,C1
143.5376,42.0433,20.8128,20.5859,982.0833,764.65,0,294.65,Right,0,C2
165.4098,145.8415,19.4759,19.0065,1498.8438,637.6406,0,554.4219,Left,70,C2
38.7604,187.5026,15.2171,15.5605,1206.3717,603.3717,0,316.6814,Right,0,C2
56.255,189.7433,16.973,16.9876,1368.1667,923.7778,0,250.7778,Right,0,C2
12.741,166.0259,21.8035,21.9149,1330.2679,678.3036,0,440.7679,Right,0,C2
29.0806,176.3258,21.6497,21.4794,1093.5287,598.2299,0,411.5057,Right,0,C2
12.8035,166.0092,22.8006,22.5117,1330.2679,678.3036,0,440.7679,Right,0,C2
29.1464,176.3082,22.6478,22.6847,1093.5287,598.2299,0,411.5057,Right,0,C2
13.9932,171.7609,23.3394,23.1185,1430.559,634.8758,0,487.8075,Right,0,C2
18.3161,173.2285,23.4047,23.1824,1319.8983,582.9492,0,411.5424,Right,0,C2
21.494,174.6037,23.4297,23.787,1500.1068,557.8544,0,354.466,Right,0,C2
24.4162,177.1028,23.3494,23.444,1794.6957,626.2391,0,477,Right,0,C2
31.3294,182.1902,23.2484,23.7718,1763.8049,644.0976,0,424.7439,Right,0,C2
34.1857,184.7023,23.1802,22.6908,1461.5118,603.2283,0,409.5433,Right,0,C2
228.6856,125.0813,39.0524,39.031,3067.4762,593.0952,0,4062.8571,Left,18,C2
174.3439,153.6103,34.2068,33.705,1523.0428,679.7914,0,386.2246,Left,70,C2
111.0004,160.8538,30.5875,30.2172,1662.0806,635.7903,0,541.4032,Right,26,C2
226.7829,204.7469,33.0134,33.1911,2046.0755,480.2642,0,1103.4528,Left,65,C2
39.2494,182.701,24.6069,25.133,1538.4773,675.7121,0,365.4621,Right,0,C2
89.455,232.5736,23.1241,23.0504,575.2353,1358.1765,0,165.7059,Right,0,C2
140.6939,152.3343,33.3525,33.6427,1434.4359,593.2308,0,522.5897,Right,29,C2
140.6587,152.3045,34.3055,33.7679,1434.4359,593.2308,0,522.5897,Right,29,C2
156.4662,126.7479,37.2628,36.7072,1224.1467,725.12,0,885.44,Right,14,C2
71.6187,187.2783,34.2024,33.7297,1339.2,617.7,0,631.1,Right,65,C2
71.6111,187.3152,35.1925,35.0969,1339.2,617.7,0,631.1,Right,65,C2
277.2133,76.9733,54.3275,53.7566,432.9254,517.7761,0,682.0746,Left,0,C3
33.4147,94.6712,47.0198,46.9996,756.5,496.7838,0,1058.3919,Right,0,C3
95.3414,162.2467,44.9447,44.4098,1086.2017,581.3782,0,271.6134,Right,60,C3
95.283,162.2878,45.8847,46.2107,1086.2017,581.3782,0,271.6134,Right,60,C3
95.2179,162.3297,46.8226,46.3343,1086.2017,581.3782,0,271.6134,Right,60,C3
