C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.232,0.000,0.000,0.000,0.000,0.000,0.050,0.000,0.000,0.092,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.012,0.031,0.000,0.064,0.000,0.000,0.047,0.000,0.000,0.060,0.000,0.000,0,0,0,0,0,0,0.008,0.019,0.013,1,1Sp,Lamina 1,90,DH
0.000,0.057,0.030,0.067,0.000,0.018,0.000,0.166,0.000,0.041,0.000,0.000,0.000,0.091,0.000,0.142,0.000,0.072,0.000,0.042,0.000,0.000,0.000,0.017,0.000,0.000,0.000,0.014,0.000,0.017,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.017,0.019,0.042,0.010,0.000,0.036,0.000,0.041,0.031,0.031,0.020,0.064,0.000,0.055,0.000,0.000,0,0,0,0,0,0,0.006,0.035,0.021,2,2Ssp,Lamina 2 Outer part,90,DH
0.000,0.019,0.014,0.083,0.000,0.032,0.000,0.152,0.000,0.109,0.000,0.000,0.000,0.389,0.000,0.185,0.000,0.000,0.008,0.067,0.000,0.090,0.000,0.139,0.000,0.104,0.000,0.033,0.000,0.058,0.000,0.000,0.000,0.000,0.000,0.086,0.000,0.154,0.000,0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.132,0.008,0.055,0.000,0.102,0.031,0.107,0.136,0.060,0.000,0.128,0.000,0.000,0,0,0,0,0,0,0.006,0.081,0.044,3,2Spl,Lamina 2 Inner part,90,DH
0.000,0.246,0.000,0.321,0.009,0.145,0.000,0.406,0.092,0.414,0.000,0.231,0.010,0.724,0.000,0.539,0.000,0.124,0.004,0.139,0.000,0.081,0.008,0.022,0.009,0.018,0.000,0.014,0.000,0.134,0.000,0.040,0.000,0.124,0.000,0.061,0.000,0.076,0.018,0.034,0.000,0.000,0.000,0.007,0.006,0.095,0.015,0.105,0.014,0.185,0.022,0.244,0.003,0.167,0.017,0.296,0.033,0.262,0.000,0.311,0.000,0.000,0,0,0,0,0,0,0.010,0.198,0.104,4,3Sp,Lamina 3,90,DH
0.051,0.994,0.071,1.246,0.032,0.571,0.092,1.001,0.033,1.351,0.051,2.219,0.019,4.178,0.075,1.941,0.012,0.911,0.107,0.611,0.103,0.923,0.019,0.385,0.040,0.622,0.176,0.899,0.148,0.730,0.097,0.265,0.182,0.407,0.052,0.577,0.056,0.758,0.148,1.188,0.032,0.911,0.065,0.529,0.025,0.602,0.038,0.716,0.042,0.801,0.061,0.713,0.002,0.453,0.020,0.378,0.000,0.556,0.000,0.573,0.000,0.000,0,0,0,0,0,0,0.061,0.975,0.521,5,4Sp,Lamina 4,90,DH
0.079,4.205,0.038,2.304,0.000,0.486,0.000,3.362,0.000,4.134,0.000,4.918,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.018,3.123,1.689,6,IB,Internal basilar nucleus_4Sp,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.078,0.519,0.088,0.472,0.108,0.237,0.000,0.000,0,0,0,0,0,0,0.090,0.425,0.253,7,5Sp,Lamina 5,90,DH
0.179,0.839,0.205,1.404,0.087,1.326,0.101,1.707,0.123,1.166,0.172,1.269,0.050,3.855,0.068,0.482,0.045,0.332,0.048,0.229,0.106,0.599,0.114,0.448,0.006,0.348,0.022,0.544,0.033,0.665,0.028,0.580,0.118,0.314,0.023,0.376,0.059,0.350,0.009,0.454,0.013,0.514,0.009,0.192,0.065,0.285,0.039,0.188,0.099,0.535,0.059,0.378,0.038,0.493,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.073,0.687,0.382,8,5SpL,Lamina 5 Lateral part,90,DH
0.165,1.945,0.111,2.156,0.013,1.907,0.022,2.838,0.009,3.067,0.095,5.314,0.014,4.987,0.027,2.865,0.017,1.561,0.075,1.002,0.298,1.438,0.082,0.939,0.058,0.840,0.295,0.949,0.549,1.952,0.448,0.345,0.157,0.262,0.020,0.390,0.112,1.081,0.124,1.622,0.048,0.704,0.000,0.182,0.055,0.180,0.057,0.247,0.053,0.475,0.076,0.289,0.120,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.089,1.675,0.898,9,5SpM,Lamina 5 Medial part,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,2.799,0.074,3.043,0.045,7.534,0.079,6.006,0.216,5.566,0.677,7.400,1.732,8.005,1.015,1.017,0.571,1.449,0.048,1.973,0.043,4.249,0.405,9.034,0.048,4.429,0.030,0.410,0.067,1.436,0.067,1.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0.296,3.779,2.075,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
