C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
126.949,157.870,436.455,308.806,468.904,349.299,465.922,337.598,447.638,286.554,202.508,167.556,372.314,287.670,324.819,406.573,270.060,208.069,294.340,265.225,443.555,298.804,262.607,155.520,247.608,200.087,238.846,185.133,367.168,387.198,307.188,333.041,321.399,296.228,291.458,220.013,291.120,232.965,266.008,253.957,380.237,267.616,378.011,274.829,359.838,320.331,338.598,319.463,403.318,280.133,414.733,351.209,392.002,331.526,318.056,288.557,380.324,436.862,0,0,0,0,0,0,0,0,0,0,347.726,283.351,315.307,1,1Sp,Lamina 1,90,DH
218.224,237.693,527.362,441.828,524.254,456.680,561.267,507.619,489.660,356.088,289.955,223.653,355.372,329.214,358.801,441.831,383.775,296.514,384.432,356.253,549.824,422.318,374.352,225.095,339.273,359.766,347.982,264.404,469.167,498.474,417.333,468.810,457.704,398.107,415.280,323.777,339.122,348.334,323.863,307.848,494.016,403.758,434.803,386.380,454.878,449.730,467.128,449.886,501.990,395.111,464.889,458.960,477.152,465.767,407.625,405.379,374.627,450.784,0,0,0,0,0,0,0,0,0,0,429.817,384.370,406.822,2,2Ssp,Lamina 2 Outer part,90,DH
371.952,338.439,591.593,589.187,553.367,557.204,617.834,612.743,540.622,466.793,342.237,292.855,406.394,385.693,413.343,493.309,465.594,428.020,409.110,434.225,585.820,574.265,471.293,311.439,447.121,555.614,410.366,375.283,506.053,520.149,432.841,480.860,495.704,466.227,524.261,455.450,438.061,468.641,445.046,460.658,498.202,499.662,465.372,499.335,493.367,543.210,510.309,520.620,567.413,510.074,512.521,519.632,521.419,507.106,474.659,467.977,403.978,490.499,0,0,0,0,0,0,0,0,0,0,488.758,478.291,483.467,3,2Spl,Lamina 2 Inner part,90,DH
603.058,503.232,631.570,682.449,584.758,632.775,649.684,635.885,635.075,575.066,446.455,416.097,449.834,499.378,469.907,557.785,509.122,532.545,456.720,525.916,597.467,659.482,499.815,541.892,505.750,564.426,498.534,522.128,545.086,520.906,463.975,487.857,518.287,536.666,568.009,508.747,545.267,504.817,596.855,584.937,509.065,553.243,509.716,515.748,502.804,553.036,533.974,538.250,613.291,597.461,568.499,575.169,531.509,508.466,490.760,490.947,434.842,535.133,0,0,0,0,0,0,0,0,0,0,540.924,548.524,544.769,4,3Sp,Lamina 3,90,DH
805.852,603.227,641.153,703.544,624.130,654.102,681.442,667.535,691.556,653.206,579.196,581.092,510.526,576.257,546.055,622.712,527.251,620.114,519.458,543.423,693.537,744.381,565.578,614.279,579.198,636.105,581.099,623.529,634.086,596.021,528.104,539.915,557.210,585.259,600.227,581.652,542.355,576.443,629.843,704.308,599.098,654.118,596.479,580.665,589.482,622.012,601.526,599.062,674.311,690.660,599.856,628.032,563.062,559.641,553.098,552.165,477.150,587.502,0,0,0,0,0,0,0,0,0,0,604.878,620.350,612.714,5,4Sp,Lamina 4,90,DH
813.447,392.581,586.309,733.730,629.110,636.669,629.700,510.856,671.419,703.429,561.858,662.897,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,641.667,619.887,630.399,6,IB,Internal basilar nucleus_4Sp,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,631.251,594.015,547.249,607.873,0,0,0,0,0,0,0,0,0,0,608.082,597.799,603.221,7,5Sp,Lamina 5,90,DH
844.135,696.328,739.529,749.853,735.991,769.773,773.520,756.332,822.413,752.178,679.761,573.544,609.761,589.225,659.770,646.063,651.169,641.762,545.667,532.942,852.803,861.718,712.684,742.352,677.986,708.634,685.523,726.966,711.328,741.155,655.322,708.324,730.936,752.766,727.163,723.614,731.723,714.094,842.979,809.475,789.272,712.605,682.068,635.851,667.835,682.054,717.619,678.399,733.298,733.665,727.961,707.794,642.281,611.005,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,717.926,700.616,709.187,8,5SpL,Lamina 5 Lateral part,90,DH
820.205,644.304,834.000,820.329,823.895,783.185,856.568,801.528,877.630,785.182,737.550,750.926,590.200,693.503,673.371,777.168,631.404,690.522,596.507,576.266,863.922,972.371,709.022,756.800,728.227,797.240,672.628,694.461,722.721,680.227,690.288,702.038,716.655,740.780,669.581,689.784,716.667,716.434,791.582,809.918,665.720,758.827,706.168,658.712,777.426,747.439,766.160,742.603,898.788,935.151,856.000,876.388,641.332,628.357,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,753.367,756.982,755.186,9,5SpM,Lamina 5 Medial part,90,DH
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,549.371,658.907,508.120,531.748,737.299,814.386,544.214,578.591,634.733,708.704,541.032,542.951,628.964,534.644,631.681,608.536,593.830,674.357,562.717,628.919,506.328,634.863,497.787,677.335,681.174,732.396,651.326,658.311,656.082,728.069,742.321,788.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,616.982,667.282,642.111,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
