C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
978.923,2886.911,749.172,695.302,1464.408,1605.702,972.207,1026.428,1111.341,828.396,631.859,725.139,922.359,1096.791,670.831,741.033,720.234,889.726,972.872,1021.957,1260.311,1212.265,976.969,1170.632,1004.132,877.754,708.207,879.270,887.778,1062.372,1084.691,1318.651,914.311,1047.666,950.943,1005.460,715.352,733.152,632.755,926.311,1364.960,1572.081,1071.735,1061.896,779.677,1050.939,833.633,821.669,857.398,1064.120,792.581,918.342,1065.034,1021.236,850.542,869.960,350.274,328.324,0,0,0,0,0,0,0,0,0,0,902.786,1000.318,951.895,1,1Sp,Lamina 1,90,Lamina_I
1007.698,2693.514,777.788,838.722,1220.803,1205.839,903.703,1131.086,1102.945,824.743,754.775,1034.407,776.354,746.016,750.119,796.186,737.076,836.598,994.914,983.128,1213.085,1112.231,1177.377,1084.124,1264.489,1014.816,889.595,886.020,1112.258,1164.426,1197.333,1299.099,1236.687,1145.966,1076.242,1056.980,930.605,900.489,1037.304,1182.367,1551.663,1344.935,1114.278,1103.866,989.724,1100.618,1170.452,1006.416,1090.900,1131.087,1125.198,981.747,1164.528,1057.545,879.259,811.152,298.536,492.142,0,0,0,0,0,0,0,0,0,0,1032.872,1038.133,1035.516,2,2SpO,Lamina 2 Outer part,90,Lamina_II
1232.498,2426.746,679.143,801.865,966.794,1106.623,1035.369,1200.786,855.983,815.698,729.908,874.231,877.269,930.712,740.375,746.338,831.937,851.717,925.714,992.185,1103.933,1081.001,1149.168,1049.828,1124.241,976.632,875.972,834.343,1077.130,1061.247,1193.775,1105.239,1082.770,977.567,940.439,897.893,1045.285,938.688,1107.248,1037.557,1120.609,1037.474,1251.535,1200.495,963.573,1037.819,1244.746,1173.964,1276.323,965.927,1249.818,945.222,1104.597,1077.094,623.336,689.948,289.016,560.999,0,0,0,0,0,0,0,0,0,0,995.953,987.427,991.663,3,2Spl,Lamina 2 Inner part,90,Lamina_II
1618.055,2461.531,579.475,557.314,776.247,855.395,803.686,814.157,706.716,868.067,610.246,645.290,722.033,685.187,661.222,664.235,915.374,789.943,783.217,848.557,916.811,907.524,946.571,927.755,938.774,903.993,844.169,819.205,828.819,826.821,861.376,781.994,808.232,750.766,663.820,651.233,850.769,840.648,788.517,740.263,840.998,869.644,888.570,810.134,851.706,714.768,833.890,830.363,836.724,656.210,894.100,760.340,850.693,862.034,705.982,635.601,297.922,399.181,0,0,0,0,0,0,0,0,0,0,810.235,800.877,805.518,4,3Sp,Lamina 3,90,Lamina_III
905.222,1231.733,537.440,495.035,662.277,709.199,565.988,600.800,628.946,741.192,468.161,490.455,537.042,504.386,533.589,522.147,637.337,669.371,567.618,598.645,634.427,636.882,618.612,624.492,624.628,622.844,569.080,601.860,629.985,694.574,727.691,703.358,653.685,668.893,527.780,574.723,613.647,697.292,519.829,584.202,698.389,738.088,560.118,530.986,563.616,561.067,578.247,597.069,609.287,552.835,575.670,576.108,542.250,560.735,495.895,478.352,299.821,267.459,0,0,0,0,0,0,0,0,0,0,587.711,606.709,597.314,5,4Sp,Lamina 4,90,Lamina_IV
791.753,920.956,590.750,674.520,486.164,401.347,631.836,691.823,572.843,572.610,378.114,354.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,553.834,570.045,561.859,6,IB,Internal basilar nucleus_4Sp,90,Lamina_IV
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,524.239,520.439,328.972,268.087,0,0,0,0,0,0,0,0,0,0,533.253,553.421,543.901,7,5Sp,Lamina 5,90,Lamina_V
699.973,855.650,517.923,475.887,554.083,558.467,472.129,468.151,656.815,705.728,474.771,453.947,520.356,482.098,533.932,510.327,534.503,514.393,554.465,577.019,595.693,591.071,532.253,534.609,536.544,535.125,536.702,525.023,529.080,591.060,584.564,569.156,516.719,531.207,478.912,505.297,520.100,531.254,505.903,570.386,649.865,676.016,545.442,546.799,503.823,514.785,583.460,651.505,583.987,530.185,584.557,592.490,478.714,462.547,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,546.986,554.222,550.671,8,5SpL,Lamina 5 Lateral part,90,Lamina_V
859.939,955.528,643.336,638.300,645.592,658.743,500.357,498.158,646.387,658.875,466.986,437.956,617.934,634.919,493.619,464.094,535.942,493.256,516.931,524.648,613.692,588.099,522.489,540.615,553.530,542.539,524.185,528.618,491.430,516.425,576.924,570.916,645.167,659.672,479.773,501.709,631.575,683.798,458.821,486.974,575.391,544.384,655.514,712.760,550.035,611.460,549.441,543.780,623.470,584.522,645.922,658.093,505.739,504.407,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,556.282,558.815,557.562,9,5SpM,Lamina 5 Medial part,90,Lamina_V
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,532.115,507.424,517.511,525.868,623.383,605.507,548.756,561.518,600.243,597.829,534.484,513.025,557.224,602.764,572.352,556.790,547.553,554.640,474.492,473.571,575.352,581.380,478.249,486.173,729.073,757.953,573.133,566.865,537.999,612.688,520.964,500.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,562.638,567.930,565.313,10,D,Dorsal nucleus (Clarke)_5Sp,90,Lamina_V
