C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
0,0,0,0.409,0,0,0,0,0,0.063,0,0,0,0.552,0,1.392,0,0.772,0,0.043,0,0.051,0,0.091,0,0.023,0,0.061,0,0.333,0,0.383,0,0.022,0,0.143,0,0.016,0,0,0,0,0,0,0,0,0.119,0,0,0.012,0,0.1,0,0.078,0,0.059,0.5,0.067,0,0,0,0,0,0,0,0,0,0,0.013,0.186,0.099,1,1Sp,Lamina 1,90,DH
0,0,0,0.445,0.017,0.017,0,0,0,0.184,0,0.217,0,0.485,0,2.785,0,1.191,0.008,0.02,0,0.054,0,0.015,0,0.095,0,0.072,0,0.153,0,0.146,0,0,0,0.192,0,0.239,0,0.057,0,0,0,0,0.02,0.012,0.154,0.017,0.037,0.01,0,0.229,0.069,0.178,0.015,0.072,0.451,0.06,0,0,0,0,0,0,0,0,0,0,0.021,0.286,0.154,2,2Ssp,Lamina 2 Outer part,90,DH
0,0,0,0.663,0.029,0.028,0,0.018,0,0.63,0,0.552,0,0.783,0,5.732,0,3.307,0.016,0.202,0,0.207,0.015,0.136,0,0.932,0,0.182,0,0.161,0,0,0,0.155,0,0.271,0,0.505,0,0,0,0,0,0.05,0.02,0.181,0.066,0.041,0,0.183,0,0.225,0.022,0.086,0.01,0.061,0.058,0,0,0,0,0,0,0,0,0,0,0,0.009,0.688,0.348,3,2Spl,Lamina 2 Inner part,90,DH
0,0,0.005,4.792,0.013,0.477,0.008,0.305,0.018,5.952,0,1.738,0.034,9.005,0.037,18.534,0,8.739,0.012,1.001,0.006,0.354,0.007,0.489,0,0.93,0.007,0.079,0.006,0.126,0,0.112,0,0.125,0,0.213,0.006,0.448,0.008,0.068,0,0.025,0,0.122,0.032,0.112,0.007,0.194,0.052,0.44,0.003,0.687,0.045,0.241,0.227,2.241,0.053,2.963,0,0,0,0,0,0,0,0,0,0,0.022,2.459,1.24,4,3Sp,Lamina 3,90,DH
0,0,0.465,27.046,2.435,16.555,2.954,19.782,2.064,33.725,1.13,36.174,1.686,46.969,1.713,63.058,2.593,45.454,1.189,17.573,1.483,10.816,0.593,10.888,1.816,13.835,3.252,7.709,1.344,4.199,2.293,3.292,1.978,3.635,0.93,6.224,0.65,7.465,0.736,8.897,1.397,9.355,0.131,4.366,0.065,7.797,0.61,5.268,0.391,7.474,0.434,6.74,0.024,1.196,0.165,3.644,0,5.084,0,0,0,0,0,0,0,0,0,0,1.132,16.937,9.058,5,4Sp,Lamina 4,90,DH
0,0,1.503,72.188,1.158,34.041,3.389,72.53,0.894,58.469,0.655,97.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.375,65.088,34.255,6,IB,Internal basilar nucleus_4Sp,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095,0.908,0.118,1.086,0,0,0,0,0,0,0,0,0,0,0.1,0.949,0.539,7,5Sp,Lamina 5,90,DH
0,0,0.412,31.735,0.691,45.953,0.401,39.375,0.504,37.883,0.164,28.068,0.171,59.702,0.332,57.002,0.058,32.546,0.03,7.601,0.197,8.618,0.203,14.086,0.274,6.66,0.095,3.516,0.122,6.626,0.08,2.106,0.241,1.709,0,1.98,0.118,2.94,0,1.727,0.006,0.79,0.023,1.107,0.069,1.381,0.018,0.819,0.435,2.149,0.078,1.427,0.066,1.272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189,14.138,7.148,8,5SpL,Lamina 5 Lateral part,90,DH
0,0,0.372,27.883,1.375,78.253,2.482,82.604,0.481,77.632,0.526,80.479,0.696,82.757,0.796,87.674,0.87,81.953,0.215,41.349,0.438,49.489,1.086,59.614,0.536,34.972,1.564,21.303,1.961,35.717,2.969,11.082,1.022,5.48,0.214,13.827,0.704,19.916,0.462,13.673,0.03,3.166,0,5.429,0.097,4.871,0.035,3.05,0.138,7.356,0.086,4.642,0.206,4.147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,39.775,20.397,9,5SpM,Lamina 5 Medial part,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.653,84.928,0.667,58.094,0.602,84.463,1.754,87.907,1.766,71.759,5.867,46.181,15.539,83.94,16.539,36.054,10.53,32.848,0.781,47.177,2.343,77.89,6.802,78.989,0.901,41.91,0,4.987,0,33.229,0.162,12.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.598,53.153,28.858,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
0,0,0,0,0,0,0.698,52.95,0.606,46.699,0.48,36.422,0.387,36.597,0.498,42.547,1.835,64.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696,45.51,24.439,11,6Sp,Lamina 6,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285,1.468,0.148,2.109,0.089,1.557,0.205,2.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,1.828,0.916,12,6SpL,Lamina 6 Lateral part,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,2.067,0.21,5.489,0.186,3.36,0.147,2.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,3.267,1.565,13,6SpM,Lamina 6 Medial part,90,DH
0,0,0.36,3.812,5.249,24.414,6.157,27.901,2.848,15.273,3.415,17.658,3.195,23.305,3.502,25.177,13.474,40.289,3.143,14.681,4.579,23.895,0.934,13.787,1.107,13.104,13.732,37.604,6.53,29.262,16.905,31.93,10.137,18.714,0.634,2.115,0.875,4.608,0.623,5.762,0.36,2.373,0.102,1.726,0.267,3.383,0.956,6.643,1.058,10.711,0.8,6.794,1.608,4.548,0.265,0.389,0.388,0.53,0,0,0,0,0,0,0,0,0,0,3.688,15.091,9.399,14,10Sp,Lamina 10,100,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.274,26.705,7.498,29.338,1.42,22.792,2.231,8.343,0.491,4.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.441,17.283,10.588,15,LDCom,Lumbar dorsal commissural ,100,C
0,0,0.5,0.607,2.578,9.392,3.728,6.081,7.347,13.289,13.893,18.598,18.977,42.071,11.806,22.388,30.815,38.438,8.666,14.548,2.99,8.325,0.554,3.369,1.65,7.654,0.968,2.972,1.519,4.911,6.137,11.934,1.174,3.997,0.294,1.744,0.643,3.321,0.94,0.781,0.746,2.188,0,1.542,0.11,0.327,0.678,1.568,0.962,2.387,1.015,1.023,2.871,3.469,0.154,0.309,0.901,0,0,0,0,0,0,0,0,0,0,0,4.258,8.089,6.187,16,CC,Central Canal,100,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.878,0.154,0.227,0.049,0.145,0,0,0,0,0,0,0,0,0,0,1.343,2.964,2.154,17,SDCom,Sacral dorsal commissural nucleu,100,C
0,0,0.565,4.371,0.879,19.674,0.623,17.784,0.376,14.583,0.507,11.741,0.577,8.508,0.558,12.491,0.882,30.433,0.472,11.647,0.84,15.931,0.999,20.351,1.192,14.176,1.467,17.541,1.552,19.122,1.492,16.072,0.985,12.422,0.479,7.17,0.483,8.666,0.497,7.168,0.315,3.028,0.179,2.794,0.23,3.7,0.154,0.942,0.173,1.652,0.098,1.168,0.233,1.892,0.283,0.718,0.173,0.826,0,0,0,0,0,0,0,0,0,0,0.532,9.009,4.808,18,7Sp,Lamina 7,110,VH
0,0,0.19,4.384,1.34,53.003,0.952,39.372,0.681,32.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764,31.921,16.653,19,CeCv,Central cervical nucleus,110,VH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,20.126,0.54,15.569,0.661,29.27,0.722,22.7,1.532,40.486,1.314,26.471,0.913,26.124,0.647,15.834,0.155,8.93,0.1,10.102,0.311,8.659,0.056,2.412,0.154,3.912,0,0,0,0,0,0,0,0,0,0,0.455,0.81,0.153,1.077,0,0,0,0,0,0,0,0,0,0,0.517,16.087,8.647,20,ICl,Intercalated nucleus,110,VH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,15.536,0.136,1.816,0.494,3.451,0.847,11.867,0,3.766,0.355,6.194,0.854,6.733,0.03,1.876,0,3.049,0.08,2.661,0.247,2.619,0.188,1.697,0,0.71,0,2.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293,4.525,2.435,21,IML,Intermediolateral column,110,VH
