X,Y,Z,Z_Dither,Mean_Int_Ch1,Mean_Int_Ch2,Mean_Int_Ch3,Mean_Int_Ch4,Hemisphere,Region_ID,Segment
189.6043,151.4786,5.0251,5.3137,0,1352.62,607.08,0,Left,26,C1
189.5429,151.4624,5.9925,5.8801,0,1352.62,607.08,0,Left,26,C1
189.4813,151.4464,6.9591,6.5937,0,1352.62,607.08,0,Left,26,C1
189.4197,151.4307,7.9249,7.7158,0,1352.62,607.08,0,Left,26,C1
189.358,151.4152,8.8898,9.4745,0,1352.62,607.08,0,Left,26,C1
189.2959,151.4001,9.8538,9.2365,0,1352.62,607.08,0,Left,26,C1
189.2334,151.3854,10.817,11.3966,0,1352.62,607.08,0,Left,26,C1
198.8918,184.6082,6.3277,6.8775,0,1098.7241,417.069,0,Left,70,C1
198.8192,184.5941,7.3098,7.8688,0,1098.7241,417.069,0,Left,70,C1
184.1076,158.276,18.0257,18.572,0,1339.5963,533.6273,0,Left,26,C2
184.0282,158.2738,18.9791,18.8505,0,1339.5963,533.6273,0,Left,26,C2
175.7194,146.8534,28.9907,28.8001,0,1183.2222,398.5926,0,Left,29,C2
175.653,146.8584,29.9355,29.6781,0,1183.2222,398.5926,0,Left,29,C2
189.3415,161.426,40.5466,40.5547,0,1204.1748,797.6434,0,Left,26,C2
189.2846,161.4104,41.4825,41.0025,0,1204.1748,797.6434,0,Left,26,C2
189.2313,161.3933,42.4178,42.7559,0,1204.1748,797.6434,0,Left,26,C3
189.1818,161.3747,43.3525,43.5523,0,1204.1748,797.6434,0,Left,26,C3
189.1362,161.3547,44.2866,43.8575,0,1204.1748,797.6434,0,Left,26,C3
211.2207,182.1563,43.0895,42.9372,0,1190.8333,440.3542,0,Left,65,C3
211.1818,182.1144,44.0372,43.5869,0,1190.8333,440.3542,0,Left,26,C3
144.6787,88.9013,66.6494,66.893,0,883.9388,1063.9796,0,Right,5,C4
144.6792,89.0271,67.5983,67.9799,0,883.9388,1063.9796,0,Right,6,C4
144.6814,89.1557,68.5468,67.9281,0,883.9388,1063.9796,0,Right,6,C4
214.878,163.9551,61.0634,61.0923,0,932.9355,452.6935,0,Left,60,C3
122.3656,174.9375,53.8225,54.1275,0,1346.5636,403.7455,0,Right,42,C3
104.5198,157.8155,57.383,56.9355,0,1358.8214,505.1071,0,Right,26,C3
181.6291,162.3631,61.2044,61.1816,0,857.0952,472.4762,0,Left,29,C3
104.5358,157.7872,58.3014,58.3571,0,1358.8214,505.1071,0,Right,26,C3
181.6674,162.33,62.1329,62.2293,0,857.0952,472.4762,0,Left,29,C3
104.5515,157.7612,59.2203,58.8515,0,1358.8214,505.1071,0,Right,26,C3
181.7111,162.2968,63.0621,63.2164,0,857.0952,472.4762,0,Left,29,C3
104.5667,157.7376,60.1396,59.7455,0,1358.8214,505.1071,0,Right,26,C3
181.7602,162.2633,63.9923,63.3807,0,857.0952,472.4762,0,Left,29,C3
119.0239,180.579,59.6468,59.2231,0,1269.5769,384.4231,0,Right,42,C3
119.0426,180.5207,60.5367,60.1343,0,1269.5769,384.4231,0,Right,42,C3
119.0631,180.4627,61.4277,61.4782,0,1269.5769,384.4231,0,Right,42,C3
119.0856,180.4054,62.3197,62.912,0,1269.5769,384.4231,0,Right,42,C3
119.1101,180.3489,63.2129,62.8947,0,1269.5769,384.4231,0,Right,42,C3
167.3339,126.0903,81.7091,81.5772,0,1081.6768,581.303,0,Left,14,C4
292.2855,75.9485,99.4396,99.0866,0,2163.6875,486.5,0,Left,0,C5
111.6006,167.5532,71.114,71.029,0,1313.3684,611.807,0,Right,26,C4
94.0998,171.2458,73.0464,72.7129,0,2092.9563,480.8197,0,Right,44,C4
120.9564,190.5458,69.0629,69.5502,0,1278.4862,548.055,0,Right,70,C4
94.1167,171.2578,73.9724,73.3953,0,2092.9563,480.8197,0,Right,44,C4
121.0005,190.481,69.9568,70.0723,0,1278.4862,548.055,0,Right,70,C4
94.1349,171.2726,74.8998,75.0938,0,2092.9563,480.8197,0,Right,44,C4
