C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73825,0,0.37275,1,1Sp,Lamina 1,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57025,0,0.28725,2,2Ssp,Lamina 2 Outer part,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2Spl,Lamina 2 Inner part,90,DH
0,0,0,0,12.92,0,0,0,0,0,0,22.30775,0,0,0,0,0,0,0,0,0,9.1575,0,0,0,0,11.77025,0,0,0,0,0,7.781,0,0,0,0,0,0,0,0,0,0,0,8.174,0,0,0,0,0,0,0,5.31725,0,43.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3155,1.146,1.74525,4,3Sp,Lamina 3,90,DH
0,0,0,0,0,0,5.16175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16225,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15625,0,0,0,0,0,0,0,0,3.459,0,7.9315,0,2.6595,0,5.282,4.26625,39.4245,0,0,10.7735,0,0,0,0,0,0,0,0,0,0,1.70525,0.7795,1.24525,5,4Sp,Lamina 4,90,DH
0,0,0,0,0,0,162.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.023,0,8.0395,6,IB,Internal basilar nucleus_4Sp,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.26525,0,0,0,0,0,0,0,0,0,0,0,0,0,125.26525,0,62.017,7,5Sp,Lamina 5,90,DH
0,0,0,17.38525,0,0,0,0,0,0,0,13.3475,0,90.26,0,0,0,0,0,0,0,0,0,6.705,0,0,0,0,0,0,0,0,0,59.10175,0,0,0,0,0,0,0,0,0,37.4945,0,11.302,20.866,0,0,0,0,0,9.2325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60125,7.5515,4.585,8,5SpL,Lamina 5 Lateral part,90,DH
0,0,0,0,0,0,0,0,0,7.61975,0,0,0,13.982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.829,0.41675,9,5SpM,Lamina 5 Medial part,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
