C1_R,C1_L,C2_R,C2_L,C3_R,C3_L,C4_R,C4_L,C5_R,C5_L,C6_R,C6_L,C7_R,C7_L,C8_R,C8_L,T1_R,T1_L,T2_R,T2_L,T3_R,T3_L,T4_R,T4_L,T5_R,T5_L,T6_R,T6_L,T7_R,T7_L,T8_R,T8_L,T9_R,T9_L,T10_R,T10_L,T11_R,T11_L,T12_R,T12_L,T13_R,T13_L,L1_R,L1_L,L2_R,L2_L,L3_R,L3_L,L4_R,L4_L,L5_R,L5_L,L6_R,L6_L,S1_R,S1_L,S2_R,S2_L,S3_R,S3_L,S4_R,S4_L,Co1_R,Co1_L,Co2_R,Co2_L,Co3_R,Co3_L,Region_R,Region_L,Region_Total,Region_ID,Region_Acronym,Region_Name,Parent_ID,Parent_Acronym
0,0,0,0.038666667,0.043,0,0,0.022333333,0,0,0.021333333,0,0.011333333,0,0,0.006333333,0.015333333,0,0,0,0.134666667,0.127666667,0.037666667,0.042666667,0.053,0.012666667,0.029666667,0,0.521333333,0.708333333,0.017,0.037,0,0,0.052,0,0.014,0.006333333,0,0.008,0,0,0.024333333,0.096666667,0.006666667,0.040333333,0.034666667,0.004333333,0.022666667,0.004666667,0.004666667,0.082333333,0,0.063666667,0.015,0.197333333,0,0.028666667,0,0,0,0,0,0,0,0,0,0,0.033,0.048333333,0.040666667,1,1Sp,Lamina 1,90,DH
0.022333333,0,0,0.014,0,0.013666667,0.064666667,0.015333333,0,0.006333333,0.071,0.014666667,0,0.102,0,0.022333333,0,0.118,0.026666667,0.029,0.053333333,0.005,0.030666667,0.030333333,0.027666667,0.024,0.053,0,0.216333333,0.046333333,0.014333333,0,0,0.008333333,0.028333333,0.008333333,0.086333333,0,0,0.034666667,0.007333333,0.015,0,0.006666667,0.048,0.012333333,0.003333333,0,0.011,0.033333333,0.036333333,0.019666667,0.020333333,0.176,0,0.079666667,0,0.043,0,0,0,0,0,0,0,0,0,0,0.027666667,0.033,0.030333333,2,2Ssp,Lamina 2 Outer part,90,DH
0.098333333,0.01,0.004333333,0.004,0,0,0,0,0.009666667,0.003333333,0,0.028,0.006666667,0.028,0.002666667,0.011333333,0.018666667,0.040333333,0.005333333,0.003,0.013666667,0,0.139,0.012666667,0.032666667,0,0.061333333,0,0.033,0.019333333,0.006333333,0,0,0.005666667,0.005,0.004666667,0,0,0,0.083333333,0,0,0,0.010333333,0.012,0,0.009666667,0.011666667,0.007666667,0.003333333,0.004333333,0.014666667,0.006666667,0.005333333,0.072333333,0.023666667,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0.016666667,0.010666667,0.013666667,3,2Spl,Lamina 2 Inner part,90,DH
0.05,0.02,0.002,0.037,0.023,0.018,0.002666667,0.008666667,0.013,0,0.041666667,0.073333333,0.045333333,0.018333333,0.009,0.009,0.008333333,0,0.017,0,0.008333333,0.025,0.036666667,0.027,0.026666667,0.018666667,0.055666667,0,0.028,0.032,0.006,0.021,0.005333333,0.002333333,0,0.009666667,0.031,0,0.011,0.040666667,0,0.011333333,0.009333333,0.007,0.05,0.004666667,0.004666667,0.010666667,0.003333333,0.015666667,0.009333333,0.009666667,0.027333333,0.006,0.101666667,0.019333333,0,0.012666667,0,0,0,0,0,0,0,0,0,0,0.019666667,0.015333333,0.017333333,4,3Sp,Lamina 3,90,DH
0,0.002666667,0,0.005333333,0.024333333,0,0.023666667,0.007,0.023,0,0.087666667,0.021666667,0.020333333,0.004,0.003,0.005666667,0,0,0.006666667,0.023666667,0.001333333,0.021333333,0.043666667,0.052,0.022333333,0.014333333,0.015666667,0.025666667,0.019,0.005666667,0.002666667,0.009666667,0,0.01,0,0.002,0,0.005,0.048,0.034666667,0.002666667,0.016333333,0.010666667,0,0.02,0.003333333,0,0.006,0.037666667,0.014666667,0.012333333,0.034666667,0.005,0.019,0.293,0.006,0,0.014333333,0,0,0,0,0,0,0,0,0,0,0.020333333,0.013333333,0.016666667,5,4Sp,Lamina 4,90,DH
0,0,0,0,0,0,0.270333333,0,0,0,0.719,0.153666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149,0.025,0.086666667,6,IB,Internal basilar nucleus_4Sp,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0.054666667,0.063333333,0.038666667,0,0,0,0,0,0,0,0,0,0,0.741333333,0.056,0.392666667,7,5Sp,Lamina 5,90,DH
0.04,0,0,0.019333333,0.096,0,0.004333333,0,0.164333333,0,0.295666667,0.040333333,0.092333333,0,0.002333333,0.008666667,0.008333333,0.193,0.032666667,0,0,0.009666667,0.031666667,0.042333333,0.001666667,0.009333333,0.002666667,0.002666667,0.006666667,0,0,0.003333333,0.002,0.088666667,0,0,0.013333333,0,0.012,0,0.032333333,0,0,0.061,0.038333333,0.026333333,0.029666667,0,0.013,0.017333333,0.02,0.053333333,0.126333333,0.033666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040666667,0.022666667,0.031666667,8,5SpL,Lamina 5 Lateral part,90,DH
0.015,0,0,0,0,0,0,0,0.047333333,0.011333333,0.165,0.057,0,0.006666667,0.019666667,0,0.018,0,0,0,0,0.035,0,0,0,0.059333333,0.013666667,0.006666667,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0.012333333,0.023333333,0.02,0.004666667,0,0.037,0.041333333,0.018333333,0.103666667,0.015333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027666667,0.012333333,0.02,9,5SpM,Lamina 5 Medial part,90,DH
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014333333,0,0.037333333,0,0,0,0,0,0,0,0,0.015333333,0,0,0,0,0.019,0,0,0,0,0.031666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004333333,0.004,0.004,10,D,Dorsal nucleus (Clarke)_5Sp,90,DH
